Date,City,AQI
2015-01-01,Pithampur,
2015-01-01,Ujjain,
2015-01-02,Pithampur,
2015-01-02,Ujjain,
2015-01-03,Pithampur,
2015-01-03,Ujjain,
2015-01-04,Pithampur,
2015-01-04,Ujjain,
2015-01-05,Pithampur,
2015-01-05,Ujjain,
2015-01-06,Pithampur,
2015-01-06,Ujjain,
2015-01-07,Pithampur,
2015-01-07,Ujjain,
2015-01-08,Pithampur,
2015-01-08,Ujjain,
2015-01-09,Pithampur,
2015-01-09,Ujjain,
2015-01-10,Pithampur,
2015-01-10,Ujjain,
2015-01-11,Pithampur,
2015-01-11,Ujjain,
2015-01-12,Pithampur,
2015-01-12,Ujjain,
2015-01-13,Pithampur,
2015-01-13,Ujjain,
2015-01-14,Pithampur,
2015-01-14,Ujjain,
2015-01-15,Pithampur,
2015-01-15,Ujjain,
2015-01-16,Pithampur,
2015-01-16,Ujjain,
2015-01-17,Pithampur,
2015-01-17,Ujjain,
2015-01-18,Pithampur,
2015-01-18,Ujjain,
2015-01-19,Pithampur,
2015-01-19,Ujjain,
2015-01-20,Pithampur,
2015-01-20,Ujjain,
2015-01-21,Pithampur,
2015-01-21,Ujjain,
2015-01-22,Pithampur,
2015-01-22,Ujjain,
2015-01-23,Pithampur,
2015-01-23,Ujjain,
2015-01-24,Pithampur,
2015-01-24,Ujjain,
2015-01-25,Pithampur,
2015-01-25,Ujjain,
2015-01-26,Pithampur,
2015-01-26,Ujjain,
2015-01-27,Pithampur,
2015-01-27,Ujjain,
2015-01-28,Pithampur,
2015-01-28,Ujjain,
2015-01-29,Pithampur,
2015-01-29,Ujjain,
2015-01-30,Pithampur,
2015-01-30,Ujjain,
2015-01-31,Pithampur,
2015-01-31,Ujjain,
2015-02-01,Pithampur,
2015-02-01,Ujjain,
2015-02-02,Pithampur,
2015-02-02,Ujjain,
2015-02-03,Pithampur,
2015-02-03,Ujjain,
2015-02-04,Pithampur,
2015-02-04,Ujjain,
2015-02-05,Pithampur,
2015-02-05,Ujjain,
2015-02-06,Pithampur,
2015-02-06,Ujjain,
2015-02-07,Pithampur,
2015-02-07,Ujjain,
2015-02-08,Pithampur,
2015-02-08,Ujjain,
2015-02-09,Pithampur,
2015-02-09,Ujjain,
2015-02-10,Pithampur,
2015-02-10,Ujjain,
2015-02-11,Pithampur,
2015-02-11,Ujjain,
2015-02-12,Pithampur,
2015-02-12,Ujjain,
2015-02-13,Pithampur,
2015-02-13,Ujjain,
2015-02-14,Pithampur,
2015-02-14,Ujjain,
2015-02-15,Pithampur,
2015-02-15,Ujjain,
2015-02-16,Pithampur,
2015-02-16,Ujjain,
2015-02-17,Pithampur,
2015-02-17,Ujjain,
2015-02-18,Pithampur,
2015-02-18,Ujjain,
2015-02-19,Pithampur,
2015-02-19,Ujjain,
2015-02-20,Pithampur,
2015-02-20,Ujjain,
2015-02-21,Pithampur,
2015-02-21,Ujjain,
2015-02-22,Pithampur,
2015-02-22,Ujjain,
2015-02-23,Pithampur,
2015-02-23,Ujjain,
2015-02-24,Pithampur,
2015-02-24,Ujjain,
2015-02-25,Pithampur,
2015-02-25,Ujjain,
2015-02-26,Pithampur,
2015-02-26,Ujjain,
2015-02-27,Pithampur,
2015-02-27,Ujjain,
2015-02-28,Pithampur,
2015-02-28,Ujjain,
2015-03-01,Pithampur,
2015-03-01,Ujjain,
2015-03-02,Pithampur,
2015-03-02,Ujjain,
2015-03-03,Pithampur,
2015-03-03,Ujjain,
2015-03-04,Pithampur,
2015-03-04,Ujjain,
2015-03-05,Pithampur,
2015-03-05,Ujjain,
2015-03-06,Pithampur,
2015-03-06,Ujjain,
2015-03-07,Pithampur,
2015-03-07,Ujjain,
2015-03-08,Pithampur,
2015-03-08,Ujjain,
2015-03-09,Pithampur,
2015-03-09,Ujjain,
2015-03-10,Pithampur,
2015-03-10,Ujjain,
2015-03-11,Pithampur,
2015-03-11,Ujjain,
2015-03-12,Pithampur,
2015-03-12,Ujjain,
2015-03-13,Pithampur,
2015-03-13,Ujjain,
2015-03-14,Pithampur,
2015-03-14,Ujjain,
2015-03-15,Pithampur,
2015-03-15,Ujjain,
2015-03-16,Pithampur,
2015-03-16,Ujjain,
2015-03-17,Pithampur,
2015-03-17,Ujjain,
2015-03-18,Pithampur,
2015-03-18,Ujjain,
2015-03-19,Pithampur,
2015-03-19,Ujjain,
2015-03-20,Pithampur,
2015-03-20,Ujjain,
2015-03-21,Pithampur,
2015-03-21,Ujjain,
2015-03-22,Pithampur,
2015-03-22,Ujjain,
2015-03-23,Pithampur,
2015-03-23,Ujjain,
2015-03-24,Pithampur,
2015-03-24,Ujjain,
2015-03-25,Pithampur,
2015-03-25,Ujjain,
2015-03-26,Pithampur,
2015-03-26,Ujjain,
2015-03-27,Pithampur,
2015-03-27,Ujjain,
2015-03-28,Pithampur,
2015-03-28,Ujjain,
2015-03-29,Pithampur,
2015-03-29,Ujjain,
2015-03-30,Pithampur,
2015-03-30,Ujjain,
2015-03-31,Pithampur,
2015-03-31,Ujjain,
2015-04-01,Pithampur,
2015-04-01,Ujjain,
2015-04-02,Pithampur,
2015-04-02,Ujjain,
2015-04-03,Pithampur,
2015-04-03,Ujjain,
2015-04-04,Pithampur,
2015-04-04,Ujjain,
2015-04-05,Pithampur,
2015-04-05,Ujjain,
2015-04-06,Pithampur,
2015-04-06,Ujjain,
2015-04-07,Pithampur,
2015-04-07,Ujjain,
2015-04-08,Pithampur,
2015-04-08,Ujjain,
2015-04-09,Pithampur,
2015-04-09,Ujjain,
2015-04-10,Pithampur,
2015-04-10,Ujjain,
2015-04-11,Pithampur,
2015-04-11,Ujjain,
2015-04-12,Pithampur,
2015-04-12,Ujjain,
2015-04-13,Pithampur,
2015-04-13,Ujjain,
2015-04-14,Pithampur,
2015-04-14,Ujjain,
2015-04-15,Pithampur,
2015-04-15,Ujjain,
2015-04-16,Pithampur,
2015-04-16,Ujjain,
2015-04-17,Pithampur,
2015-04-17,Ujjain,
2015-04-18,Pithampur,
2015-04-18,Ujjain,
2015-04-19,Pithampur,
2015-04-19,Ujjain,
2015-04-20,Pithampur,
2015-04-20,Ujjain,
2015-04-21,Pithampur,
2015-04-21,Ujjain,
2015-04-22,Pithampur,
2015-04-22,Ujjain,
2015-04-23,Pithampur,
2015-04-23,Ujjain,
2015-04-24,Pithampur,
2015-04-24,Ujjain,
2015-04-25,Pithampur,
2015-04-25,Ujjain,
2015-04-26,Pithampur,
2015-04-26,Ujjain,
2015-04-27,Pithampur,
2015-04-27,Ujjain,
2015-04-28,Pithampur,
2015-04-28,Ujjain,
2015-04-29,Pithampur,
2015-04-29,Ujjain,
2015-04-30,Pithampur,
2015-04-30,Ujjain,
2015-05-01,Pithampur,
2015-05-01,Ujjain,
2015-05-02,Pithampur,
2015-05-02,Ujjain,
2015-05-03,Pithampur,
2015-05-03,Ujjain,
2015-05-04,Pithampur,
2015-05-04,Ujjain,
2015-05-05,Pithampur,
2015-05-05,Ujjain,
2015-05-06,Pithampur,
2015-05-06,Ujjain,
2015-05-07,Pithampur,
2015-05-07,Ujjain,
2015-05-08,Pithampur,
2015-05-08,Ujjain,
2015-05-09,Pithampur,
2015-05-09,Ujjain,
2015-05-10,Pithampur,
2015-05-10,Ujjain,
2015-05-11,Pithampur,
2015-05-11,Ujjain,
2015-05-12,Pithampur,
2015-05-12,Ujjain,
2015-05-13,Pithampur,
2015-05-13,Ujjain,
2015-05-14,Pithampur,
2015-05-14,Ujjain,
2015-05-15,Pithampur,
2015-05-15,Ujjain,
2015-05-16,Pithampur,
2015-05-16,Ujjain,
2015-05-17,Pithampur,
2015-05-17,Ujjain,
2015-05-18,Pithampur,
