Date,City,AQI
2019-11-01,Ahmedabad,132.0
2019-11-01,Amaravati,64.0
2019-11-01,Amritsar,313.0
2019-11-01,Bengaluru,85.0
2019-11-01,Brajrajnagar,179.0
2019-11-01,Chennai,130.0
2019-11-01,Coimbatore,49.0
2019-11-01,Delhi,595.0
2019-11-01,Gurugram,481.0
2019-11-01,Guwahati,141.0
2019-11-01,Hyderabad,54.0
2019-11-01,Jaipur,130.0
2019-11-01,Jorapokhar,135.0
2019-11-01,Kolkata,246.0
2019-11-01,Lucknow,384.0
2019-11-01,Mumbai,76.0
2019-11-01,Patna,359.0
2019-11-01,Talcher,
2019-11-01,Thiruvananthapuram,63.0
2019-11-01,Visakhapatnam,164.0
2019-11-02,Ahmedabad,121.0
2019-11-02,Amaravati,49.0
2019-11-02,Amritsar,311.0
2019-11-02,Bengaluru,76.0
2019-11-02,Brajrajnagar,187.0
2019-11-02,Chennai,97.0
2019-11-02,Coimbatore,69.0
2019-11-02,Delhi,469.0
2019-11-02,Gurugram,428.0
2019-11-02,Guwahati,111.0
2019-11-02,Hyderabad,66.0
2019-11-02,Jaipur,177.0
2019-11-02,Jorapokhar,125.0
2019-11-02,Kolkata,194.0
2019-11-02,Lucknow,430.0
2019-11-02,Mumbai,57.0
2019-11-02,Patna,426.0
2019-11-02,Talcher,
2019-11-02,Thiruvananthapuram,68.0
2019-11-02,Visakhapatnam,136.0
2019-11-03,Ahmedabad,120.0
2019-11-03,Amaravati,75.0
2019-11-03,Amritsar,305.0
2019-11-03,Bengaluru,90.0
2019-11-03,Brajrajnagar,147.0
2019-11-03,Chennai,94.0
2019-11-03,Coimbatore,86.0
2019-11-03,Delhi,660.0
2019-11-03,Gurugram,611.0
2019-11-03,Guwahati,116.0
2019-11-03,Hyderabad,85.0
2019-11-03,Jaipur,250.0
2019-11-03,Jorapokhar,143.0
2019-11-03,Kolkata,138.0
2019-11-03,Lucknow,430.0
2019-11-03,Mumbai,73.0
2019-11-03,Patna,419.0
2019-11-03,Talcher,
2019-11-03,Thiruvananthapuram,60.0
2019-11-03,Visakhapatnam,286.0
2019-11-04,Ahmedabad,192.0
2019-11-04,Amaravati,95.0
2019-11-04,Amritsar,286.0
2019-11-04,Bengaluru,96.0
2019-11-04,Brajrajnagar,239.0
2019-11-04,Chennai,250.0
2019-11-04,Coimbatore,102.0
2019-11-04,Delhi,520.0
2019-11-04,Gurugram,440.0
2019-11-04,Guwahati,113.0
2019-11-04,Hyderabad,97.0
2019-11-04,Jaipur,187.0
2019-11-04,Jorapokhar,188.0
2019-11-04,Kolkata,134.0
2019-11-04,Lucknow,462.0
2019-11-04,Mumbai,78.0
2019-11-04,Patna,393.0
2019-11-04,Talcher,
2019-11-04,Thiruvananthapuram,60.0
2019-11-04,Visakhapatnam,304.0
2019-11-05,Ahmedabad,179.0
2019-11-05,Amaravati,124.0
2019-11-05,Amritsar,259.0
2019-11-05,Bengaluru,141.0
2019-11-05,Brajrajnagar,219.0
2019-11-05,Chennai,250.0
2019-11-05,Coimbatore,93.0
2019-11-05,Delhi,383.0
2019-11-05,Gurugram,358.0
2019-11-05,Guwahati,123.0
2019-11-05,Hyderabad,153.0
2019-11-05,Jaipur,155.0
2019-11-05,Jorapokhar,155.0
2019-11-05,Kolkata,211.0
2019-11-05,Lucknow,452.0
2019-11-05,Mumbai,79.0
2019-11-05,Patna,417.0
2019-11-05,Talcher,110.0
2019-11-05,Thiruvananthapuram,66.0
2019-11-05,Visakhapatnam,272.0
2019-11-06,Ahmedabad,263.0
2019-11-06,Amaravati,192.0
2019-11-06,Amritsar,258.0
2019-11-06,Bengaluru,167.0
2019-11-06,Brajrajnagar,199.0
2019-11-06,Chennai,230.0
2019-11-06,Coimbatore,84.0
2019-11-06,Delhi,259.0
2019-11-06,Gurugram,217.0
2019-11-06,Guwahati,88.0
2019-11-06,Hyderabad,175.0
2019-11-06,Jaipur,136.0
2019-11-06,Jorapokhar,158.0
2019-11-06,Kolkata,295.0
2019-11-06,Lucknow,343.0
2019-11-06,Mumbai,103.0
2019-11-06,Patna,347.0
2019-11-06,Talcher,121.0
2019-11-06,Thiruvananthapuram,67.0
2019-11-06,Visakhapatnam,267.0
2019-11-07,Ahmedabad,180.0
2019-11-07,Amaravati,197.0
2019-11-07,Amritsar,202.0
2019-11-07,Bengaluru,174.0
2019-11-07,Brajrajnagar,174.0
2019-11-07,Chennai,274.0
2019-11-07,Coimbatore,72.0
2019-11-07,Delhi,299.0
2019-11-07,Gurugram,284.0
2019-11-07,Guwahati,111.0
2019-11-07,Hyderabad,154.0
2019-11-07,Jaipur,100.0
2019-11-07,Jorapokhar,175.0
2019-11-07,Kolkata,239.0
2019-11-07,Lucknow,370.0
2019-11-07,Mumbai,82.0
2019-11-07,Patna,346.0
2019-11-07,Talcher,414.0
2019-11-07,Thiruvananthapuram,65.0
2019-11-07,Visakhapatnam,271.0
2019-11-08,Ahmedabad,130.0
2019-11-08,Amaravati,173.0
2019-11-08,Amritsar,55.0
2019-11-08,Bengaluru,158.0
2019-11-08,Brajrajnagar,140.0
2019-11-08,Chennai,295.0
2019-11-08,Coimbatore,66.0
2019-11-08,Delhi,345.0
2019-11-08,Gurugram,335.0
2019-11-08,Guwahati,113.0
2019-11-08,Hyderabad,140.0
2019-11-08,Jaipur,168.0
2019-11-08,Jorapokhar,210.0
2019-11-08,Kolkata,154.0
2019-11-08,Lucknow,361.0
2019-11-08,Mumbai,57.0
2019-11-08,Patna,368.0
2019-11-08,Talcher,515.0
2019-11-08,Thiruvananthapuram,65.0
2019-11-08,Visakhapatnam,167.0
2019-11-09,Ahmedabad,118.0
2019-11-09,Amaravati,167.0
2019-11-09,Amritsar,73.0
2019-11-09,Bengaluru,115.0
2019-11-09,Brajrajnagar,121.0
2019-11-09,Chennai,271.0
2019-11-09,Coimbatore,70.0
2019-11-09,Delhi,320.0
2019-11-09,Gurugram,314.0
2019-11-09,Guwahati,83.0
2019-11-09,Hyderabad,163.0
2019-11-09,Jaipur,219.0
2019-11-09,Jorapokhar,114.0
2019-11-09,Kolkata,66.0
2019-11-09,Lucknow,330.0
2019-11-09,Mumbai,83.0
2019-11-09,Patna,326.0
2019-11-09,Talcher,209.0
2019-11-09,Thiruvananthapuram,65.0
2019-11-09,Visakhapatnam,156.0
2019-11-10,Ahmedabad,117.0
2019-11-10,Amaravati,123.0
2019-11-10,Amritsar,144.0
2019-11-10,Bengaluru,96.0
2019-11-10,Brajrajnagar,98.0
2019-11-10,Chennai,230.0
2019-11-10,Coimbatore,68.0
2019-11-10,Delhi,341.0
2019-11-10,Gurugram,301.0
2019-11-10,Guwahati,49.0
2019-11-10,Hyderabad,169.0
2019-11-10,Jaipur,188.0
2019-11-10,Jorapokhar,97.0
2019-11-10,Kolkata,52.0
2019-11-10,Lucknow,262.0
2019-11-10,Mumbai,97.0
2019-11-10,Patna,263.0
2019-11-10,Talcher,75.0
2019-11-10,Thiruvananthapuram,63.0
2019-11-10,Visakhapatnam,109.0
2019-11-11,Ahmedabad,155.0
2019-11-11,Amaravati,76.0
2019-11-11,Amritsar,160.0
2019-11-11,Bengaluru,125.0
2019-11-11,Brajrajnagar,103.0
2019-11-11,Chennai,188.0
2019-11-11,Coimbatore,82.0
2019-11-11,Delhi,378.0
2019-11-11,Gurugram,342.0
2019-11-11,Guwahati,37.0
2019-11-11,Hyderabad,114.0
2019-11-11,Jaipur,192.0
2019-11-11,Jorapokhar,105.0
2019-11-11,Kolkata,73.0
2019-11-11,Lucknow,247.0
2019-11-11,Mumbai,108.0
2019-11-11,Patna,284.0
2019-11-11,Talcher,106.0
2019-11-11,Thiruvananthapuram,69.0
2019-11-11,Visakhapatnam,105.0
2019-11-12,Ahmedabad,228.0
2019-11-12,Amaravati,94.0
2019-11-12,Amritsar,292.0
2019-11-12,Bengaluru,102.0
2019-11-12,Brajrajnagar,116.0
2019-11-12,Chennai,75.0
2019-11-12,Coimbatore,74.0
2019-11-12,Delhi,479.0
2019-11-12,Gurugram,430.0
2019-11-12,Guwahati,98.0
2019-11-12,Hyderabad,104.0
2019-11-12,Jaipur,210.0
2019-11-12,Jorapokhar,118.0
2019-11-12,Kolkata,179.0
2019-11-12,Lucknow,309.0
2019-11-12,Mumbai,135.0
2019-11-12,Patna,311.0
2019-11-12,Talcher,170.0
2019-11-12,Thiruvananthapuram,72.0
2019-11-12,Visakhapatnam,103.0
2019-11-13,Ahmedabad,242.0
2019-11-13,Amaravati,73.0
2019-11-13,Amritsar,358.0
2019-11-13,Bengaluru,80.0
2019-11-13,Brajrajnagar,126.0
2019-11-13,Chennai,78.0
2019-11-13,Coimbatore,84.0
2019-11-13,Delhi,532.0
2019-11-13,Gurugram,503.0
2019-11-13,Guwahati,132.0
2019-11-13,Hyderabad,124.0
2019-11-13,Jaipur,253.0
2019-11-13,Jorapokhar,137.0
2019-11-13,Kolkata,241.0
2019-11-13,Lucknow,363.0
2019-11-13,Mumbai,140.0
2019-11-13,Patna,360.0
2019-11-13,Talcher,183.0
2019-11-13,Thiruvananthapuram,97.0
2019-11-13,Visakhapatnam,97.0
2019-11-14,Ahmedabad,142.0
2019-11-14,Amaravati,102.0
2019-11-14,Amritsar,333.0
2019-11-14,Bengaluru,79.0
2019-11-14,Brajrajnagar,123.0
2019-11-14,Chennai,91.0
2019-11-14,Coimbatore,67.0
2019-11-14,Delhi,537.0
2019-11-14,Gurugram,488.0
2019-11-14,Guwahati,105.0
2019-11-14,Hyderabad,125.0
2019-11-14,Jaipur,278.0
2019-11-14,Jorapokhar,217.0
2019-11-14,Kolkata,196.0
2019-11-14,Lucknow,356.0
2019-11-14,Mumbai,128.0
2019-11-14,Patna,395.0
2019-11-14,Talcher,183.0
2019-11-14,Thiruvananthapuram,134.0
2019-11-14,Visakhapatnam,108.0
2019-11-15,Ahmedabad,129.0
2019-11-15,Amaravati,100.0
2019-11-15,Amritsar,316.0
2019-11-15,Bengaluru,77.0
2019-11-15,Brajrajnagar,125.0
2019-11-15,Chennai,97.0
2019-11-15,Coimbatore,70.0
2019-11-15,Delhi,596.0
2019-11-15,Gurugram,550.0
2019-11-15,Guwahati,156.0
2019-11-15,Hyderabad,131.0
2019-11-15,Jaipur,242.0
2019-11-15,Jorapokhar,169.0
2019-11-15,Kolkata,186.0
2019-11-15,Lucknow,341.0
2019-11-15,Mumbai,131.0
2019-11-15,Patna,347.0
2019-11-15,Talcher,199.0
2019-11-15,Thiruvananthapuram,113.0
2019-11-15,Visakhapatnam,110.0
2019-11-16,Ahmedabad,128.0
2019-11-16,Amaravati,116.0
2019-11-16,Amritsar,255.0
2019-11-16,Bengaluru,80.0
2019-11-16,Brajrajnagar,113.0
2019-11-16,Chennai,59.0
2019-11-16,Coimbatore,67.0
2019-11-16,Delhi,428.0
2019-11-16,Gurugram,426.0
2019-11-16,Guwahati,136.0
2019-11-16,Hyderabad,140.0
2019-11-16,Jaipur,168.0
2019-11-16,Jorapokhar,177.0
2019-11-16,Kolkata,183.0
2019-11-16,Lucknow,326.0
2019-11-16,Mumbai,146.0
2019-11-16,Patna,315.0
2019-11-16,Talcher,207.0
2019-11-16,Thiruvananthapuram,155.0
2019-11-16,Visakhapatnam,110.0
2019-11-17,Ahmedabad,141.0
2019-11-17,Amaravati,127.0
2019-11-17,Amritsar,107.0
2019-11-17,Bengaluru,77.0
2019-11-17,Brajrajnagar,128.0
2019-11-17,Chennai,125.0
2019-11-17,Coimbatore,68.0
2019-11-17,Delhi,268.0
2019-11-17,Gurugram,237.0
2019-11-17,Guwahati,167.0
2019-11-17,Hyderabad,128.0
2019-11-17,Jaipur,120.0
2019-11-17,Jorapokhar,156.0
2019-11-17,Kolkata,212.0
2019-11-17,Lucknow,285.0
2019-11-17,Mumbai,148.0
2019-11-17,Patna,320.0
2019-11-17,Talcher,201.0
2019-11-17,Thiruvananthapuram,58.0
2019-11-17,Visakhapatnam,95.0
2019-11-18,Ahmedabad,148.0
2019-11-18,Amaravati,89.0
2019-11-18,Amritsar,168.0
2019-11-18,Bengaluru,75.0
2019-11-18,Brajrajnagar,184.0
