City,Station_ID,Station_Name
Agra,site_307,"Sanjay Palace, Agra - UPPCB"
Ahmedabad,site_308,"Maninagar, Ahmedabad - GPCB"
Aizawl,site_5346,"Sikulpuikawn, Aizawl - Mizoram PCB"
Ajmer,site_1392,"Civil Lines,  Ajmer - RSPCB"
Alwar,site_1390,"Moti Doongri, Alwar - RSPCB"
Amaravati,site_1406,"Secretariat, Amaravati - APPCB"
Ambala ,site_5052,"Patti Mehar, Ambala - HSPCB"
Amritsar,site_256,"Golden Temple, Amritsar - PPCB"
Ankleshwar,site_5065,"GIDC, Ankleshwar - GPCB"
Asansol,site_1418,"Asansol Court Area, Asansol - WBPCB"
Aurangabad,site_198,"More Chowk Waluj, Aurangabad - MPCB"
Bagalkot,site_5264,"Vidayagiri, Bagalkot - KSPCB"
Baghpat,site_1569,"New Collectorate, Baghpat - UPPCB"
Bahadurgarh ,site_5045,"Arya Nagar, Bahadurgarh - HSPCB"
Ballabgarh,site_5060,"Nathu Colony, Ballabgarh - HSPCB"
Bathinda ,site_1549,"Hardev Nagar, Bathinda - PPCB"
Bengaluru,site_1553,"Bapuji Nagar, Bengaluru - KSPCB"
Bengaluru,site_1554,"Hebbal, Bengaluru - KSPCB"
Bengaluru,site_1555,"Hombegowda Nagar, Bengaluru - KSPCB"
Bengaluru,site_1556,"Jayanagar 5th Block, Bengaluru - KSPCB"
Bengaluru,site_1558,"Silk Board, Bengaluru - KSPCB"
Bengaluru,site_162,"BTM Layout, Bengaluru - CPCB"
Bengaluru,site_163,"Peenya, Bengaluru - CPCB"
Bengaluru,site_164,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
Bengaluru,site_165,"City Railway Station, Bengaluru - KSPCB"
Bengaluru,site_166,"Sanegurava Halli, Bengaluru - KSPCB"
Bhiwadi,site_1391,"RIICO Ind. Area III, Bhiwadi - RSPCB"
Bhiwani,site_5047,"H.B. Colony, Bhiwani - HSPCB"
Bhopal,site_5247,"T T Nagar, Bhopal - MPPCB"
Brajrajnagar,site_1410,"GM Office, Brajrajnagar - OSPCB"
Bulandshahr,site_1542,"Yamunapuram, Bulandshahr - UPPCB"
Chamarajanagar,site_5124,"Urban, Chamarajanagar - KSPCB"
Chandigarh,site_5127,"Sector-25, Chandigarh - CPCC"
Chandrapur,site_271,"Chandrapur, Chandrapur - MPCB"
Chandrapur,site_295,"MIDC Khutala, Chandrapur - MPCB"
Charkhi Dadri,site_5339,"Mini Secretariat, Charkhi Dadri - HSPCB"
Chennai,site_288,"Velachery Res. Area, Chennai - CPCB"
Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB"
Chennai,site_306,"Manali, Chennai - CPCB"
Chennai,site_5092,"Manali Village, Chennai - TNPCB"
Chikkaballapur,site_1557,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
Chikkamagaluru,site_5265,"Kalyana Nagara, Chikkamagaluru - KSPCB"
Coimbatore,site_5094,"SIDCO Kurichi, Coimbatore - TNPCB"
Damoh,site_5040,"Shrivastav Colony, Damoh - MPPCB"
Delhi,site_103,"CRRI Mathura Road, Delhi - IMD"
Delhi,site_104,"Burari Crossing, Delhi - IMD"
Delhi,site_105,"North Campus, DU, Delhi - IMD"
Delhi,site_106,"IGI Airport (T3), Delhi - IMD"
Delhi,site_107,"Pusa, Delhi - IMD"
Delhi,site_108,"Aya Nagar, Delhi - IMD"
Delhi,site_109,"Lodhi Road, Delhi - IMD"
Delhi,site_113,"Shadipur, Delhi - CPCB"
Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB"
Delhi,site_115,"NSIT Dwarka, Delhi - CPCB"
Delhi,site_116,"East Arjun Nagar, Delhi - CPCB"
Delhi,site_117,"ITO, Delhi - CPCB"
Delhi,site_118,"DTU, Delhi - CPCB"
Delhi,site_119,"Sirifort, Delhi - CPCB"
Delhi,site_122,"Mandir Marg, Delhi - DPCC"
Delhi,site_124,"R K Puram, Delhi - DPCC"
Delhi,site_125,"Punjabi Bagh, Delhi - DPCC"
Delhi,site_1420,"Ashok Vihar, Delhi - DPCC"
Delhi,site_1421,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
Delhi,site_1422,"Dwarka-Sector 8, Delhi - DPCC "
Delhi,site_1423,"Jahangirpuri, Delhi - DPCC"
Delhi,site_1424,"Jawaharlal Nehru Stadium, Delhi - DPCC"
Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi - DPCC"
Delhi,site_1426,"Narela, Delhi - DPCC"
Delhi,site_1427,"Najafgarh, Delhi - DPCC"
Delhi,site_1428,"Okhla Phase-2, Delhi - DPCC"
Delhi,site_1429,"Nehru Nagar, Delhi - DPCC"
Delhi,site_1430,"Rohini, Delhi - DPCC"
Delhi,site_1431,"Patparganj, Delhi - DPCC"
Delhi,site_1432,"Sonia Vihar, Delhi - DPCC"
Delhi,site_1434,"Wazirpur, Delhi - DPCC"
Delhi,site_1435,"Vivek Vihar, Delhi - DPCC"
Delhi,site_1560,"Bawana, Delhi - DPCC"
Delhi,site_1561,"Mundka, Delhi - DPCC"
Delhi,site_1562,"Sri Aurobindo Marg, Delhi - DPCC"
Delhi,site_1563,"Pusa, Delhi - DPCC"
Delhi,site_301,"Anand Vihar, Delhi - DPCC"
Delhi,site_5024,"Alipur, Delhi - DPCC"
Dewas,site_1404,"Bhopal Chauraha, Dewas - MPPCB"
Dharuhera,site_5044,"Municipal Corporation Office, Dharuhera -  HSPCB"
Durgapur,site_299,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
Eloor,site_5105,"Udyogamandal, Eloor - Kerala PCB"
Ernakulam,site_5272,"Kacheripady, Ernakulam - Kerala PCB"
Faridabad,site_263,"Sector- 16A, Faridabad - HSPCB"
Faridabad,site_5340,"New Industrial Town, Faridabad - HSPCB"
Faridabad,site_5341,"Sector 30, Faridabad - HSPCB"
Faridabad,site_5342,"Sector 11, Faridabad - HSPCB"
Fatehabad ,site_5054,"Huda Sector, Fatehabad - HSPCB"
Gandhinagar,site_5066,"Sector-10, Gandhinagar - GPCB"
Gaya,site_159,"Collectorate, Gaya - BSPCB"
Gaya,site_5338,"SFTI Kusdihra, Gaya - BSPCB"
Ghaziabad,site_144,"Vasundhara, Ghaziabad - UPPCB"
Ghaziabad,site_5081,"Sanjay Nagar, Ghaziabad - UPPCB"
Ghaziabad,site_5082,"Indirapuram, Ghaziabad - UPPCB"
Ghaziabad,site_5083,"Loni, Ghaziabad - UPPCB"
Greater Noida,site_1541,"Knowledge Park - III, Greater Noida - UPPCB"
Greater Noida,site_5121,"Knowledge Park - V, Greater Noida - UPPCB"
Gurugram,site_146,"Vikas Sadan, Gurugram - HSPCB"
Gurugram,site_5025,"NISE Gwal Pahari, Gurugram - IMD"
Gurugram,site_5344,"Teri Gram, Gurugram - HSPCB"
Gurugram,site_5345,"Sector-51, Gurugram - HSPCB"
Guwahati,site_5073,"Railway Colony, Guwahati - APCB"
Gwalior,site_5273,"City Center, Gwalior - MPPCB"
Gwalior,site_5275,"Phool Bagh, Gwalior - Mondelez Ind. Food"
Hajipur,site_5337,"Industrial Area, Hajipur - BSPCB"
Haldia,site_300,"Haldia, Haldia - WBPCB"
Hapur,site_5023,"Anand Vihar, Hapur - UPPCB"
Hisar,site_5057,"Urban Estate-II, Hisar - HSPCB"
Howrah,site_1416,"Padmapukur, Howrah - WBPCB"
Howrah,site_274,"Ghusuri, Howrah - WBPCB"
Howrah,site_5101,"Belur Math, Howrah - WBPCB"
Hubballi,site_1447,"Deshpande Nagar, Hubballi - KSPCB"
Hyderabad,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB"
Hyderabad,site_251,"ICRISAT Patancheru, Hyderabad - TSPCB"
Hyderabad,site_262,"Central University, Hyderabad - TSPCB"
Hyderabad,site_275,"IDA Pashamylaram, Hyderabad - TSPCB"
Hyderabad,site_294,"Sanathnagar, Hyderabad - TSPCB"
Hyderabad,site_298,"Zoo Park, Hyderabad - TSPCB"
Indore,site_5248,"Chhoti Gwaltoli, Indore - MPPCB"
Jabalpur,site_5249,"Marhatal, Jabalpur - MPPCB"
Jaipur,site_134,"Police Commissionerate, Jaipur - RSPCB"
Jaipur,site_1393,"Adarsh Nagar, Jaipur - RSPCB"
Jaipur,site_1396,"Shastri Nagar, Jaipur - RSPCB"
Jalandhar,site_1438,"Civil Line, Jalandhar - PPCB"
Jind,site_5056,"Police Lines, Jind - HSPCB"
Jodhpur,site_136,"Collectorate, Jodhpur - RSPCB"
Jorapokhar,site_254,"Tata Stadium, Jorapokhar - JSPCB"
Kaithal,site_5072,"Rishi Nagar, Kaithal - HSPCB"
Kalaburagi,site_1565,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
Kalyan,site_5118,"Khadakpada, Kalyan - MPCB"
Kannur,site_5276,"Thavakkara, Kannur - Kerala PCB"
Kanpur,site_276,"Nehru Nagar, Kanpur - UPPCB"
Karnal,site_5049,"Sector-12, Karnal - HSPCB"
Katni,site_5250,"Gole Bazar, Katni - MPPCB"
Khanna,site_1450,"Kalal Majra, Khanna - PPCB"
Kochi,site_5270,"Vyttila, Kochi - Kerala PCB"
Kohima,site_5375,"PWD Juction, Kohima - NPCB"
Kolkata,site_296,"Rabindra Bharati University, Kolkata - WBPCB"
Kolkata,site_309,"Victoria, Kolkata - WBPCB"
Kolkata,site_5110,"Fort William, Kolkata - WBPCB"
Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB"
Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB"
Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB"
Kolkata,site_5238,"Ballygunge, Kolkata - WBPCB"
Kollam,site_5334,"Polayathode, Kollam - Kerala PCB"
Kota,site_1394,"Shrinath Puram, Kota - RSPCB"
Kozhikode,site_5271,"Palayam, Kozhikode - Kerala PCB"
Kurukshetra ,site_5043,"Sector-7, Kurukshetra - HSPCB"
Lucknow,site_1405,"Nishant Ganj, Lucknow - UPPCB"
Lucknow,site_272,"Central School, Lucknow - CPCB"
Lucknow,site_277,"Lalbagh, Lucknow - CPCB"
Lucknow,site_297,"Talkatora District Industries Center, Lucknow - CPCB"
Lucknow,site_5128,"Gomti Nagar, Lucknow - UPPCB"
Ludhiana,site_253,"Punjab Agricultural University, Ludhiana - PPCB"
Maihar,site_5068,"Sahilara, Maihar - KJS Cements"
Mandi Gobindgarh,site_255,"RIMT University, Mandi Gobindgarh - PPCB"
Mandideep,site_1403,"Sector-D Industrial Area, Mandideep - MPPCB"
Mandikhera,site_5055,"General Hospital, Mandikhera - HSPCB"
Manesar ,site_5039,"Sector-2 IMT, Manesar - HSPCB"
Meerut,site_5109,"Jai Bhim Nagar, Meerut - UPPCB"
Meerut,site_5257,"Pallavpuram Phase 2, Meerut - UPPCB"
Meerut,site_5258,"Ganga Nagar, Meerut - UPPCB"
